stock_name,stock_code,preferred_theme,categories,subthemes,keywords
쓰리빌리언,394800,BIO / 의료AI,바이오/의료AI,의료AI | 유전자치료 | AI신약,유전자치료 | 의료AI | AI신약
쓰리에이로직스,177900,반도체 업황/테마 부각,모바일 | 반도체,무선충전 | SOCAMM,SOCAMM | 무선충전
씨메스로보틱스,475400,로봇 테마 부각,AI/데이터센터/로봇 | 빅테크 | 유니콘,휴머노이드 | 스마트팩토리 | 로봇 | SK | 쿠팡,쿠팡 | 로봇 | 스마트팩토리 | 휴머노이드 | SK
씨싸이트,109670,개별주,생활,패션/의류,패션/의류
씨씨에스,066790,정치 테마,신소재 | 정치,초전도체 | 김동연,초전도체 | 김동연
씨아이에스,222080,이차전지,빅테크 | 에너지 | 자동차 | 이차전지,테슬라 | ESS(전력저장장치) | 리비안 | 전고체배터리 | LFP배터리(리튬인산철) | 2차전지(장비),테슬라 | LFP배터리(리튬인산철) | ESS(전력저장장치) | 리비안 | 2차전지(장비) | 전고체배터리
씨아이테크,004920,로봇 테마 부각,AI/데이터센터/로봇 | 정부정책 | 정치,로봇 | 그린벨트 해제 | 이재명,이재명 | 로봇 | 그린벨트 해제
씨앤씨인터내셔널,352480,화장품 / 중국,화장품/미용,화장품,화장품
씨앤지하이테크,264660,반도체 업황/테마 부각,반도체,유리기판 | 반도체 장비,유리기판 | 반도체 장비
씨어스,458870,BIO / 의료AI,바이오/의료AI | 의료기기/의료시설,의료AI | 원격진료/비대면진료 | 의료기기,의료기기 | 의료AI | 원격진료/비대면진료
씨에스베어링,297090,전력 / 에너지,에너지,풍력 발전,풍력 발전
씨에스윈드,112610,전력 / 에너지,에너지,풍력 발전 | 지멘스,풍력 발전 | 지멘스
씨엑스아이,900120,화장품 / 중국,기타,지주사 | 국내 상장 중국기업,지주사 | 국내 상장 중국기업
씨엔알리서치,359090,BIO / 의료AI,바이오/의료AI,의료AI | CRO(임상시험수탁기관),CRO(임상시험수탁기관) | 의료AI
씨엠티엑스,388210,반도체 업황/테마 부각,반도체,반도체 소재/부품 | 마이크론 | TSMC,반도체 소재/부품 | TSMC | 마이크론
씨유메디칼,115480,정책 수혜 기대감,정부정책,고령화/노인복지,고령화/노인복지
씨유테크,376290,개별주,IT/신기술 | 모바일,카메라모듈/부품 | 갤럭시 부품,갤럭시 부품 | 카메라모듈/부품
씨이랩,189330,코인 / 가상자산,AI/데이터센터/로봇 | 가상화폐/가상현실 | 빅테크,AI(인공지능) | 메타버스 | 엔비디아,엔비디아 | 메타버스 | AI(인공지능)
씨젠,096530,BIO / 의료AI,바이오/의료AI | 전염병/질병,진단키트 | 코로나 | 엠폭스(원숭이두창),코로나 | 엠폭스(원숭이두창) | 진단키트
씨케이솔루션,480370,이차전지,기타 | 이차전지,2025년 1분기 신규상장 | LFP배터리(리튬인산철) | 2차전지(장비),LFP배터리(리튬인산철) | 2025년 1분기 신규상장 | 2차전지(장비)
씨큐브,101240,개별주,신소재,페라이트,페라이트
씨티씨바이오,060590,BIO / 의료AI,바이오/의료AI | 생활 | 전염병/질병,진단키트 | 마리화나(대마) | 동물백신/방역 | 반려동물 | 아프리카 돼지열병(ASF),마리화나(대마) | 아프리카 돼지열병(ASF) | 동물백신/방역 | 반려동물 | 진단키트
씨티알모빌리티,308170,이차전지,빅테크 | 자동차 | 이차전지,테슬라 | 리비안 | 루시드 | 폐배터리,테슬라 | 리비안 | 폐배터리 | 루시드
씨티케이,260930,화장품 / 중국,환경/재난 | 정치 | 화장품/미용,탈플라스틱(바이오플라스틱) | 이재명 | 화장품,이재명 | 탈플라스틱(바이오플라스틱) | 화장품
씨피시스템,413630,조선/기자재 테마,AI/데이터센터/로봇 | 조선/해운 | 전력,로봇 | 조선기자재 | 전선,조선기자재 | 전선 | 로봇
아가방컴퍼니,013990,정책 수혜 기대감,정부정책 | 정치,저출산 | 나경원,나경원 | 저출산
아나패스,123860,반도체 업황/테마 부각,반도체,반도체 설계,반도체 설계
아난티,025980,남북경협/대북 테마,레저 | 정부정책,여행 | 골프 | 남북경협,골프 | 여행 | 남북경협
아남전자,008700,자율주행/모빌리티 테마,자동차 | 정치,자율주행 | 안철수,자율주행 | 안철수
아리바이오랩,261780,개별주,전염병/질병,코로나 | 엠폭스(원숭이두창),코로나 | 엠폭스(원숭이두창)
아모그린텍,125210,전력 / 에너지,AI/데이터센터/로봇 | 반도체 | 빅테크 | 신소재 | 에너지 | 자동차 | 정부정책 | 전력,휴머노이드 | 로봇 | PCB/FPCB(회로기판) | 테슬라 | 페라이트 | ESS(전력저장장치) | 전기차 화재 방지 | 리비안 | 에너지고속도로 | 스마트그리드,테슬라 | LFP배터리(리튬인산철) | ESS(전력저장장치) | 리비안 | 전기차 화재 방지 | 에너지고속도로 | 로봇 | 스마트그리드 | 휴머노이드 | 페라이트 | PCB/FPCB(회로기판)
아모레퍼시픽,090430,화장품 / 중국,화장품/미용,화장품,화장품
아모레퍼시픽홀딩스,002790,화장품 / 중국,기타 | 화장품/미용,지주사 | 화장품,지주사 | 화장품
아모센스,357580,자율주행/모빌리티 테마,모바일 | 신소재 | 에너지 | 자동차 | 이차전지,무선충전 | 페라이트 | 맥신 | 블룸에너지 | 고체산화물 연료전지(SOFC) | 전기차 충전 | 수소차/수소충전 | 전해질(전해액),수소차/수소충전 | 전기차 충전 | 블룸에너지 | 고체산화물 연료전지(SOFC) | 전해질(전해액) | 맥신 | 페라이트 | 무선충전
아모텍,052710,반도체 업황/테마 부각,모바일 | 반도체 | 신소재,갤럭시 부품 | 차량용 반도체 | MLCC(적층세라믹콘덴서) | 초전도체,차량용 반도체 | 갤럭시 부품 | 초전도체 | MLCC(적층세라믹콘덴서)
아미노로직스,074430,BIO / 의료AI,바이오/의료AI,비만치료제 | mRNA(메신저 리보핵산),비만치료제 | mRNA(메신저 리보핵산)
아미코젠,092040,BIO / 의료AI,바이오/의료AI | 음식료,유전자치료 | 건강기능식품,유전자치료 | 건강기능식품
아바코,083930,반도체 업황/테마 부각,반도체,유리기판 | 디스플레이,유리기판 | 디스플레이
아바텍,149950,전력 / 에너지,반도체 | 에너지,MLCC(적층세라믹콘덴서) | 태양광 발전,태양광 발전 | MLCC(적층세라믹콘덴서)
아세아,002030,개별주,기타,지주사,지주사
아세아시멘트,183190,건설/인프라 테마,건설/인프라,시멘트,시멘트
아세아제지,002310,정책 수혜 기대감,생활 | 정부정책,제지 | 세종시(행정수도 이전),세종시(행정수도 이전) | 제지
아세아텍,050860,방산,기계/방산 | 정치,농기계/농업 | 황교안,농기계/농업 | 황교안
아센디오,012170,개별주,신소재,초전도체,초전도체
아스타,246720,반도체 업황/테마 부각,반도체,반도체 장비,반도체 장비
아스테라시스,450950,화장품 / 중국,기타 | 화장품/미용,2025년 1분기 신규상장 | 피부/미용기기,2025년 1분기 신규상장 | 피부/미용기기
아스트,067390,우주 / 항공,우주/항공,항공기부품,항공기부품
아스플로,159010,반도체 업황/테마 부각,반도체,반도체 장비 | 반도체 소재/부품,반도체 소재/부품 | 반도체 장비
아시아경제,127710,정책 수혜 기대감,IP/엔터 | 정부정책,미디어(방송/신문) | 일자리,미디어(방송/신문) | 일자리
아시아나IDT,267850,우주 / 항공,우주/항공,항공사,항공사
